,mean,sd,z,p_2sided
Intercept,0.7936938907489091,0.018843819845191692,42.11958601118939,0.0
continent[T.Europe],-1.419082743457538,0.02925838524372418,-48.501745111238705,0.0
sc_sampling,-1.0357236029552428,0.04376095232014572,-23.66775739655096,0.0
sc_TEI_bs,0.20597892327503006,0.01905727011809417,10.808417050218578,0.0
sc_TEI_delta,0.1527854305321042,0.018665713053639402,8.185351938768521,2.220446049250313e-16
sc_TEI_bs:sc_TEI_delta,0.12794372994808076,0.017221255870049034,7.429407640972265,1.0902390101819037e-13
sc_PEI_bs,-0.07767013461219066,0.01870531187896955,-4.152303640524459,3.291451404074941e-05
sc_PEI_delta,-0.07885325146868216,0.018816347980803776,-4.1906777845056515,2.7812239107083414e-05
sc_PEI_bs:sc_PEI_delta,-0.028865672415990782,0.012708618538579268,-2.2713461993027733,0.023126028555251477
sc_TEI_bs:sc_PEI_bs,-0.0026655221872149914,0.01574089028680192,-0.16933744779670568,0.8655312222062332
sc_TEI_delta:sc_PEI_delta,0.04515757720364179,0.018843187274661232,2.396493573269634,0.016552783761538237
